"Site","Plot","Treatment","Camera","Card","Cage","Netting","Carrion","Observer","Date","Time","Common.name","Group.Size","Individual.Observed","Age","Sex","Vigilant","Walking.hopping","Running","Foraging","Feeding","Interacting","Preening","Flying","Loafing","Unknown","Other","Defecating","Note","Save","Why","Functional"
"GG",5,"MH",NA,"418","Y","N ","Mass","DSM",2019-05-14,"22:54","Coyote",1,1,"Adult","Unknown",0,1,0,0,0,0,0,0,0,0,0,0,"not in plot","","","Scavenger"
"GG",5,"MH",NA,"418","Y","N ","Mass","DSM",2019-06-16,"23:16","Coyote",1,1,"Adult","Unknown",0,1,0,0,0,0,0,0,0,0,0,0,"not in plot","","","Scavenger"
"GG",5,"MH",NA,"418","Y","N ","Mass","DSM",2019-06-30,"0:42","Coyote",1,1,"Adult","Unknown",0,1,0,0,0,0,0,0,0,0,0,0,"not in plot","","","Scavenger"
"DF",3,"MH",NA,"420","N","N","Mass","DSM",2019-04-19,"22:19","Coyote",1,1,"Adult","Unknown",0,0,1,0,0,0,0,0,0,2,0,0,"edge of plot, runs away","","","Scavenger"
"DF",3,"MH",NA,"420","N","N","Mass","DSM",2019-04-19,"22:27","Coyote",1,1,"Adult","Unknown",0,0,1,0,0,0,0,0,0,2,0,0,"edge of plot, runs away","","","Scavenger"
"DF",3,"MH",NA,"420","N","N","Mass","DSM",2019-04-19,"22:36","Coyote",1,1,"Adult","Unknown",2,0,0,1,0,0,0,0,0,0,0,0,"","","","Scavenger"
"DF",3,"MH",NA,"420","N","N","Mass","DSM",2019-04-19,"23:24","Coyote",1,1,"Adult","Unknown",0,2,0,1,0,0,0,0,0,0,0,0,"edge of plot","","","Scavenger"
"DF",3,"MH",NA,"420","N","N","Mass","DSM",2019-04-20,"2:07","Coyote",1,1,"Adult","Unknown",3,2,0,1,0,0,0,0,0,0,0,0,"edge of plot","","","Scavenger"
"DF",3,"MH",NA,"420","N","N","Mass","DSM",2019-04-20,"4:58","Coyote",1,1,"Adult","Unknown",0,1,0,0,0,0,0,0,0,2,0,0,"edge of plot, runs away","","","Scavenger"
"DF",3,"MH",NA,"420","N","N","Mass","DSM",2019-04-20,"6:06","Coyote",1,1,"Adult","Unknown",0,0,1,0,0,0,0,0,0,2,0,0,"runs out of plot","","","Scavenger"
"DF",3,"MH",NA,"420","N","N","Mass","DSM",2019-04-21,"0:56","Coyote",1,1,"Adult","Unknown",0,2,3,1,0,0,0,0,0,0,0,0,"edge of plot","","","Scavenger"
"DF",3,"MH",NA,"420","N","N","Mass","DSM",2019-04-21,"1:01","Coyote",1,1,"Adult","Unknown",1,2,0,0,0,0,0,0,0,0,0,0,"","","","Scavenger"
"DF",3,"MH",NA,"420","N","N","Mass","DSM",2019-04-26,"1:41","Coyote",1,1,"Adult","Unknown",0,0,1,0,0,0,0,0,0,0,0,0,"","4260074","coyote and opossum","Scavenger"
"DF",3,"MH",NA,"420","N","N","Mass","DSM",2019-04-26,"4:24","Coyote",1,1,"Adult","Unknown",2,0,0,0,1,0,0,0,0,0,0,0,"coyote tries to grab part of pig","","","Scavenger"
"DF",3,"MH",NA,"420","N","N","Mass","DSM",2019-04-26,"4:33","Coyote",1,1,"Adult","Unknown",2,0,0,0,1,0,0,0,0,3,0,0,"coyote looks up at something","","","Scavenger"
"DF",3,"MH",NA,"420","N","N","Mass","DSM",2019-04-26,"4:39","Coyote",1,1,"Adult","Unknown",2,0,1,0,0,0,0,0,0,0,0,0,"edge of plot","","","Scavenger"
"DF",3,"MH",NA,"420","N","N","Mass","DSM",2019-04-26,"4:45","Coyote",1,1,"Adult","Unknown",0,0,2,0,0,0,0,0,0,1,0,0,"outside of plot","","","Scavenger"
"DF",3,"MH",NA,"420","N","N","Mass","DSM",2019-04-27,"3:20","Coyote",2,1,"Adult","Unknown",0,0,0,0,0,0,0,0,0,1,0,0,"outside of plot, could be eating","","","Scavenger"
"DF",3,"MH",NA,"420","N","N","Mass","DSM",2019-04-27,"3:20","Coyote",2,2,"Adult","Unknown",2,0,1,0,0,0,0,0,0,0,0,0,"edge of plot","","","Scavenger"
"DF",3,"MH",NA,"420","N","N","Mass","DSM",2019-05-01,"2:22","Coyote",1,1,"Adult","Unknown",1,0,0,0,0,0,0,0,0,0,0,0,"edge of plot","","","Scavenger"
"DF",3,"MH",NA,"420","N","N","Mass","DSM",2019-05-02,"5:15","Coyote",1,1,"Adult","Unknown",0,0,1,2,0,0,0,0,0,0,0,0,"","","","Scavenger"
"DF",3,"MH",NA,"420","N","N","Mass","DSM",2019-05-05,"5:59","Coyote",1,1,"Adult","Unknown",0,2,0,0,0,0,0,0,0,1,0,0,"foggy camera","","","Scavenger"
"DF",3,"MH",NA,"420","Y","N","Mass","DSM",2019-05-09,"22:36","Coyote",1,1,"Adult","Unknown",0,0,1,0,0,0,0,0,0,2,0,0,"edge of plot, runs out of view","","","Scavenger"
"DF",3,"MH",NA,"420","Y","N","Mass","DSM",2019-05-25,"4:29","Coyote",1,1,"Adult","Unknown",0,2,0,0,0,0,0,0,0,1,0,0,"edge of plot, walks out of view","","","Scavenger"
"GG",1,"CO",NA,"422","N","N ","Single","DSM",2019-04-18,"21:44","Coyote",1,1,"Adult","Unknown",0,0,1,0,0,0,0,1,0,0,0,0,"","","","Scavenger"
"GG",1,"CO",NA,"422","N","N ","Single","DSM",2019-04-18,"22:25","Coyote",2,1,"Adult","Unknown",0,1,0,2,0,0,0,0,0,0,0,0,"","4180067","ID practice","Scavenger"
"GG",1,"CO",NA,"422","N","N ","Single","DSM",2019-04-18,"22:25","Coyote",2,2,"Adult","Unknown",0,0,0,0,0,0,0,0,0,1,0,0,"not in plot","4180067","","Scavenger"
"GG",1,"CO",NA,"422","N","N ","Single","DSM",2019-04-18,"22:48","Coyote",1,1,"Adult","Unknown",3,1,0,2,0,0,0,0,0,0,0,0,"","","","Scavenger"
"GG",1,"CO",NA,"422","N","N ","Single","DSM",2019-04-18,"22:55","Coyote",1,1,"Adult","Unknown",0,0,1,0,0,0,0,0,0,0,0,0,"","","","Scavenger"
"GG",1,"CO",NA,"422","N","N ","Single","DSM",2019-04-18,"23:15","Coyote",1,1,"Adult","Unknown",0,0,1,0,0,0,0,0,0,0,0,0,"","","","Scavenger"
"GG",1,"CO",NA,"422","N","N ","N","DSM",2019-04-19,"20:02","Coyote",1,1,"Adult","Unknown",0,0,1,0,0,0,0,0,0,0,0,0,"","","","Scavenger"
"GG",1,"CO",NA,"422","N","N ","N","DSM",2019-04-19,"21:23","Coyote",1,1,"Adult","Unknown",2,1,0,3,0,0,0,0,0,0,0,0,"","","","Scavenger"
"GG",1,"CO",NA,"422","N","N ","N","DSM",2019-04-19,"22:22","Coyote",1,1,"Adult","Unknown",0,1,0,2,0,0,0,0,0,3,0,0,"","","","Scavenger"
"GG",1,"CO",NA,"422","N","N ","N","DSM",2019-04-19,"22:46","Coyote",1,1,"Adult","Unknown",2,1,0,3,4,0,0,0,0,0,0,0,"","","","Scavenger"
"GG",1,"CO",NA,"422","N","N ","N","DSM",2019-04-20,"1:18","Coyote",1,1,"Adult","Unknown",0,0,1,0,0,0,0,0,0,0,0,0,"","","","Scavenger"
"GG",1,"CO",NA,"422","N","N ","N","DSM",2019-04-20,"1:44","Coyote",1,1,"Adult","Unknown",2,3,0,0,0,0,1,0,0,0,0,0,"","","","Scavenger"
"GG",1,"CO",NA,"422","N","N ","N","DSM",2019-04-20,"3:58","Coyote",1,1,"Adult","Unknown",1,2,0,3,0,0,0,0,0,0,0,0,"","","","Scavenger"
"GG",1,"CO",NA,"422","N","N ","N","DSM",2019-04-20,"4:57","Coyote",1,1,"Adult","Unknown",2,0,1,0,0,0,0,0,0,0,0,0,"","","","Scavenger"
"GG",1,"CO",NA,"422","N","N ","N","DSM",2019-04-20,"6:07","Coyote",1,1,"Adult","Unknown",0,0,1,2,0,0,0,0,0,0,0,0,"","","","Scavenger"
"GG",1,"CO",NA,"422","N","N ","N","DSM",2019-04-21,"0:48","Coyote",1,1,"Adult","Unknown",1,3,2,0,0,0,0,0,0,0,0,0,"","","","Scavenger"
"GG",1,"CO",NA,"422","N","N ","N","DSM",2019-04-21,"22:19","Coyote",1,1,"Adult","Unknown",0,1,0,0,0,0,0,0,0,0,0,0,"","","","Scavenger"
"GG",1,"CO",NA,"422","N","N ","N","DSM",2019-04-22,"5:03","Coyote",1,1,"Adult","Unknown",0,0,1,0,0,0,0,0,0,0,0,0,"","","","Scavenger"
"GG",1,"CO",NA,"422","N","N ","N","DSM",2019-04-22,"1:54","Coyote",1,1,"Adult","Unknown",0,1,0,0,0,0,0,0,0,0,0,0,"","","","Scavenger"
"GG",1,"CO",NA,"422","N","N ","N","DSM",2019-04-24,"8:35","Coyote",1,1,"Adult","Unknown",0,0,1,0,0,0,0,0,0,0,0,0,"","","","Scavenger"
"GG",1,"CO",NA,"422","N","N ","N","DSM",2019-04-25,"1:05","Coyote",1,1,"Adult","Unknown",0,0,1,0,0,0,0,0,0,0,0,0,"","","","Scavenger"
"GG",1,"CO",NA,"422","N","N ","N","DSM",2019-04-25,"1:55","Coyote",1,1,"Adult","Unknown",0,1,0,0,0,0,0,0,0,0,0,0,"","","","Scavenger"
"GG",1,"CO",NA,"422","N","N ","N","DSM",2019-04-25,"2:30","Coyote",1,1,"Adult","Unknown",2,1,0,0,0,0,0,0,0,0,0,0,"","","","Scavenger"
"GG",1,"CO",NA,"422","N","N ","N","DSM",2019-04-26,"4:43","Coyote",1,1,"Adult","Unknown",2,1,0,0,0,0,0,0,0,0,0,0,"","","","Scavenger"
"GG",1,"CO",NA,"422","N","N ","N","DSM",2019-04-27,"2:49","Coyote",1,1,"Adult","Unknown",2,1,0,0,0,0,0,0,0,0,0,0,"","","","Scavenger"
"GG",1,"CO",NA,"422","N","N ","N","DSM",2019-04-27,"13:27","Coyote",1,1,"Adult","Unknown",0,2,0,1,0,0,0,0,0,0,0,0,"","4270115","coyote with mange","Scavenger"
"GG",1,"CO",NA,"422","N","N ","N","DSM",2019-04-27,"14:48","Coyote",1,1,"Adult","Unknown",2,1,0,0,0,0,0,0,0,0,0,0,"","","coyote with mange","Scavenger"
"GG",1,"CO",NA,"422","N","N ","N","DSM",2019-04-27,"17:21","Coyote",1,1,"Adult","Unknown",2,0,1,0,0,0,0,0,0,0,0,0,"","","coyote with mange","Scavenger"
"GG",1,"CO",NA,"422","N","N ","N","DSM",2019-04-27,"18:24","Coyote",1,1,"Adult","Unknown",0,0,1,0,0,0,0,0,0,0,0,0,"","","coyote with mange","Scavenger"
"GG",1,"CO",NA,"422","N","N ","N","DSM",2019-04-27,"20:45","Coyote",1,1,"Adult","Unknown",0,0,1,0,0,0,0,0,0,0,0,0,"","","","Scavenger"
"GG",1,"CO",NA,"422","N","N ","N","DSM",2019-04-27,"20:54","Coyote",1,1,"Adult","Unknown",0,0,1,0,0,0,0,0,0,0,0,0,"","","","Scavenger"
"GG",1,"CO",NA,"422","N","N ","N","DSM",2019-04-28,"3:43","Coyote",1,1,"Adult","Unknown",0,2,0,0,0,0,1,0,0,0,0,0,"","","","Scavenger"
"GG",1,"CO",NA,"422","N","N ","N","DSM",2019-04-28,"22:40","Coyote",1,1,"Adult","Unknown",0,1,0,0,0,0,0,0,0,0,0,0,"","","","Scavenger"
"GG",1,"CO",NA,"422","N","N ","N","DSM",2019-04-29,"22:26","Coyote",1,1,"Adult","Unknown",0,0,1,0,0,0,0,0,0,0,0,0,"","","","Scavenger"
"GG",1,"CO",NA,"422","N","N ","N","DSM",2019-04-29,"22:45","Coyote",1,1,"Adult","Unknown",0,1,0,2,0,0,0,0,0,0,0,0,"","","","Scavenger"
"GG",1,"CO",NA,"422","N","N ","N","DSM",2019-04-29,"22:55","Coyote",1,1,"Adult","Unknown",0,1,0,0,0,0,0,0,0,0,0,0,"","","","Scavenger"
"GG",1,"CO",NA,"422","N","N ","N","DSM",2019-05-01,"5:55","Coyote",1,1,"Adult","Unknown",0,0,1,2,0,0,0,0,0,0,0,0,"","","","Scavenger"
"GG",1,"CO",NA,"422","N","N ","N","DSM",2019-05-02,"3:31","Coyote",1,1,"Adult","Unknown",1,0,0,0,0,0,0,0,0,0,0,0,"","","","Scavenger"
"GG",1,"CO",NA,"422","N","N ","N","DSM",2019-05-02,"21:08","Coyote",1,1,"Adult","Unknown",0,1,0,0,0,0,0,0,0,0,0,0,"","","","Scavenger"
"GG",1,"CO",NA,"422","N","N ","N","DSM",2019-05-22,"2:42","Coyote",1,1,"Adult","Unknown",0,1,0,0,0,0,0,0,0,0,0,0,"","","","Scavenger"
"GG",1,"CO",NA,"422","N","N ","N","DSM",2019-06-01,"0:27","Coyote",1,1,"Adult","Unknown",0,1,0,0,0,0,0,0,0,0,0,0,"","","","Scavenger"
"GG",1,"CO",NA,"422","N","N ","N","DSM",2019-06-10,"5:02","Coyote",1,1,"Adult","Unknown",0,0,1,0,0,0,0,0,0,0,0,0,"","","","Scavenger"
"GG",1,"CO",NA,"422","N","N ","N","DSM",2019-07-02,"20:59","Coyote",1,1,"Adult","Female",0,0,0,1,0,0,0,0,0,0,0,0,"","","","Scavenger"
"WP",3,"MH",NA,"430","N","N","Mass","DSM",2019-04-30,"23:24","Coyote",1,1,"Adult","Unknown",1,0,0,0,0,0,0,0,0,0,0,0,"","","","Scavenger"
"WP",3,"MH",NA,"430","N","N","Mass","DSM",2019-04-30,"23:29","Coyote",1,1,"Adult","Unknown",2,3,0,1,0,0,0,0,0,0,0,0,"","","","Scavenger"
"WP",3,"MH",NA,"430","N","N","Mass","DSM",2019-04-30,"23:35","Coyote",1,1,"Adult","Unknown",0,2,0,1,0,0,0,0,0,3,0,0,"walks to edgte of plot","","","Scavenger"
"WP",3,"MH",NA,"430","N","N","Mass","DSM",2019-04-30,"23:40","Coyote",1,1,"Adult","Unknown",0,3,2,1,0,0,0,0,0,0,0,0,"trots out of plot","","","Scavenger"
"DF",4,"MO",NA,"432","N","N","Mass","DSM",2019-04-19,"7:31","Coyote",1,1,"Adult","Unknown",0,0,0,0,1,0,0,0,0,0,0,0,"eating carcass","","","Scavenger"
"DF",4,"MO",NA,"432","N","N","Mass","DSM",2019-04-19,"7:36","Coyote",1,1,"Adult","Unknown",0,0,2,0,0,0,0,0,0,1,0,0,"runs out of plot","","","Scavenger"
"DF",4,"MO",NA,"432","N","N","Mass","DSM",2019-04-19,"22:42","Coyote",1,1,"Adult","Unknown",3,2,0,1,0,0,0,0,0,0,0,0,"","","","Scavenger"
"DF",4,"MO",NA,"432","N","N","Mass","DSM",2019-04-19,"22:48","Coyote",2,1,"Adult","Unknown",1,0,0,2,0,0,0,0,0,0,0,0,"","","","Scavenger"
"DF",4,"MO",NA,"432","N","N","Mass","DSM",2019-04-19,"22:48","Coyote",2,2,"Adult","Unknown",1,0,0,2,0,0,0,0,0,0,0,0,"edge of plot","","","Scavenger"
"DF",4,"MO",NA,"432","N","N","Mass","DSM",2019-04-19,"23:02","Coyote",2,2,"Adult","Unknown",0,3,0,2,0,0,0,0,0,1,0,0,"edge of plot","","","Scavenger"
"DF",4,"MO",NA,"432","N","N","Mass","DSM",2019-04-19,"23:02","Coyote",2,1,"Adult","Unknown",2,3,0,4,1,0,0,0,0,0,0,0,"","","","Scavenger"
"DF",4,"MO",NA,"432","N","N","Mass","DSM",2019-04-19,"23:22","Coyote",2,1,"Adult","Unknown",3,0,1,2,0,0,0,0,0,0,0,0,"edge of plot","","","Scavenger"
"DF",4,"MO",NA,"432","N","N","Mass","DSM",2019-04-19,"23:22","Coyote",2,2,"Adult","Unknown",0,1,0,2,0,0,0,0,0,3,0,0,"edge of plot","","","Scavenger"
"DF",4,"MO",NA,"432","N","N","Mass","DSM",2019-04-20,"1:20","Coyote",1,1,"Adult","Unknown",1,3,0,2,0,0,0,0,0,0,0,0,"edge of plot","","","Scavenger"
"DF",4,"MO",NA,"432","N","N","Mass","DSM",2019-04-20,"1:32","Coyote",1,1,"Adult","Unknown",1,2,3,0,0,0,0,0,0,0,0,0,"edge of plot","","","Scavenger"
"DF",4,"MO",NA,"432","N","N","Mass","DSM",2019-04-20,"2:20","Coyote",1,1,"Adult","Unknown",2,1,0,3,0,0,0,0,0,0,0,0,"edge of plot","","","Scavenger"
"DF",4,"MO",NA,"432","N","N","Mass","DSM",2019-04-20,"3:29","Coyote",1,1,"Adult","Unknown",1,2,0,0,3,0,0,0,0,0,0,0,"feeding on carcass","","","Scavenger"
"DF",4,"MO",NA,"432","N","N","Mass","DSM",2019-04-20,"3:44","Coyote",1,1,"Adult","Unknown",0,2,0,0,0,0,0,0,0,1,0,0,"edge of plot","","","Scavenger"
"DF",4,"MO",NA,"432","N","N","Mass","DSM",2019-04-20,"4:51","Coyote",1,1,"Adult","Unknown",3,2,0,1,0,0,0,0,0,0,0,0,"","","","Scavenger"
